gc_id,name,url,city,state,country,revenue,size,sector,updated_at,created_at,image
gc_id100000,Microsoft,microsoft.com,Redmond,WA,US,2.12E+11,Enterprise,Information Technology,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/MSFT.png
gc_id100001,Apple,apple.com,Cupertino,CA,US,3.83E+11,Enterprise,Consumer Discretionary,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/AAPL.png
gc_id100002,NVIDIA,nvidia.com,Santa Clara,CA,US,60922000000,Enterprise,Information Technology,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/NVDA.png
gc_id100003,Alphabet,abc.xyz,Mountain View,CA,US,3.07E+11,Enterprise,Communication Services,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/GOOG.png
gc_id100004,Amazon.com,amazon.com,Seattle,WA,US,5.75E+11,Enterprise,Unknown,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/AMZN.png
gc_id100005,Meta Platforms,investor.fb.com,Menlo Park,CA,US,1.35E+11,Enterprise,Communication Services,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/META.png
gc_id100006,Berkshire Hathaway,berkshirehathaway.com,Omaha,NE,US,4.39E+11,Enterprise,Financials,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/BRK.B.png
gc_id100007,Eli Lilly and Company,lilly.com,Indianapolis,IN,US,34124100000,Enterprise,Healthcare,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/LLY.png
gc_id100008,Taiwan Semiconductor Manufacturing Company,tsmc.com,Hsinchu City,,TW,2.16E+12,Enterprise,Information Technology,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/TSM.png
gc_id100009,Broadcom,broadcom.com,San Jose,CA,US,35819000000,Enterprise,Information Technology,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/AVGO.png
gc_id100010,Visa Inc.,usa.visa.com,San Francisco,CA,US,32653000000,Enterprise,Financials,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/V.png
gc_id100011,Novo Nordisk,novonordisk.com,Bagsvaerd,,DK,2.32E+11,Enterprise,Healthcare,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/NVO.png
gc_id100012,JPMorgan Chase & Co.,jpmorganchase.com,New York,NY,US,1.55E+11,Enterprise,Financials,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/JPM.png
gc_id100013,Tesla,tesla.com,Austin,TX,US,96773000000,Enterprise,Unknown,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/TSLA.png
gc_id100014,Walmart,stock.walmart.com,Bentonville,AR,US,6.48E+11,Enterprise,Consumer Discretionary,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/WMT.png
gc_id100015,UnitedHealth Group,unitedhealthgroup.com,Minnetonka,MN,US,3.72E+11,Enterprise,Healthcare,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/UNH.png
gc_id100016,Exxon Mobil,corporate.exxonmobil.com,Irving,TX,US,3.34E+11,Enterprise,Energy,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/XOM.png
gc_id100017,Mastercard,mastercard.com,Purchase,NY,US,25098000000,Enterprise,Financials,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/MA.png
gc_id100018,ASML Holding,asml.com,Veldhoven,,NL,27558500000,Enterprise,Unknown,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/ASML.png
gc_id100019,The Home Depot,homedepot.com,Atlanta,GA,US,1.53E+11,Enterprise,Consumer Discretionary,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/HD.png
gc_id100020,The Procter & Gamble Company,pginvestor.com,Cincinnati,OH,US,82006000000,Enterprise,Consumer Staples,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/PG.png
gc_id100021,Johnson & Johnson,jnj.com,New Brunswick,NJ,US,85152000000,Enterprise,Healthcare,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/JNJ.png
